SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Multi-Family (5+ Unit),308-314 Francisco St #314,San Francisco,CA,94133,3300000,8,4.0,,4344,2108,1924,,760,,,,,https://www.redfin.com/CA/San-Francisco/308-314-Francisco-St-94133/unit-314/home/900584,,,N,Y,37.8052235,-122.4104334
PAST SALE,,Single Family Residential,742 26th Ave,San Francisco,CA,94121,1358000,,2.0,,1506,2996,1922,,902,,,,,https://www.redfin.com/CA/San-Francisco/742-26th-Ave-94121/home/962820,,,N,Y,37.7754551,-122.4852609
PAST SALE,,Single Family Residential,162 Nevada St,San Francisco,CA,94110,950000,,1.0,,1250,2909,1925,,760,,,,,https://www.redfin.com/CA/San-Francisco/162-Nevada-St-94110/home/1005763,,,N,Y,37.7404606,-122.4115772
PAST SALE,,Multi-Family (5+ Unit),278 7th Ave,San Francisco,CA,94118,2100000,,4.0,,4200,3000,1978,,500,,,,,https://www.redfin.com/CA/San-Francisco/278-7th-Ave-94118/home/2030933,,,N,Y,37.7833632,-122.4652338
PAST SALE,,Condo/Co-op,2200 Sacramento St #1203,San Francisco,CA,94115,3200000,,2.0,,1130,,1964,,2832,,,,,https://www.redfin.com/CA/San-Francisco/2200-Sacramento-St-94115/unit-1203/home/1529800,,,N,Y,37.7906708,-122.4294715
PAST SALE,,Condo/Co-op,159 Clifford Ter,San Francisco,CA,94117,1325000,2,2.0,,888,,1926,,1492,,,,,https://www.redfin.com/CA/San-Francisco/159-Clifford-Ter-94117/home/169570394,,,N,Y,37.7639103,-122.4454029
PAST SALE,May-2-2022,Condo/Co-op,1000 Franklin St #208,San Francisco,CA,94109,680000,1,1.0,San Francisco,680,13200,1980,,1000,380,Sold,,,https://www.redfin.com/CA/San-Francisco/1000-Franklin-St-94109/unit-208/home/148062180,San Francisco MLS,422642856,N,Y,37.7838656,-122.422437
PAST SALE,April-14-2022,Condo/Co-op,555 Golden Gate Ave Unit 11E,San Francisco,CA,94103,1223000,2,2.0,San Francisco,941,,2021,,1300,702,Sold,,,https://www.redfin.com/CA/San-Francisco/555-Golden-Gate-Ave-94102/unit-11E/home/178199996,San Francisco MLS,422625910,N,Y,37.7808655,-122.4196054
PAST SALE,,Condo/Co-op,1000-1020 Franklin St #19,San Francisco,CA,94109,680000,1,1.0,,680,,1980,,1000,,,,,https://www.redfin.com/CA/San-Francisco/1000-1020-Franklin-St-94109/unit-19/home/1236347,,,N,Y,37.783912,-122.422399
PAST SALE,,Condo/Co-op,2137-2139 Jackson St #1,San Francisco,CA,94115,2600000,3,3.0,,2600,,1940,,1000,,,,,https://www.redfin.com/CA/San-Francisco/2137-2139-Jackson-St-94115/unit-1/home/565684,,,N,Y,37.79275,-122.430215
PAST SALE,,Multi-Family (5+ Unit),2174 Union St,San Francisco,CA,94123,6000000,2,6.0,,7912,5497,1925,,758,,,,,https://www.redfin.com/CA/San-Francisco/2174-Union-St-94123/home/1723122,,,N,Y,37.7974633,-122.4350898
PAST SALE,April-6-2022,Multi-Family (5+ Unit),2155 - 2157 Jackson St,San Francisco,CA,94115,2200000,0,,San Francisco,3847,3511,1917,,572,,Sold,,,https://www.redfin.com/CA/San-Francisco/2155-Jackson-St-94115/home/178710813,San Francisco MLS,422639944,N,Y,37.7928647,-122.4305125
PAST SALE,April-28-2022,Condo/Co-op,1100 Leavenworth St #7,San Francisco,CA,94109,599000,1,1.0,San Francisco,468,2406,1910,,1280,520,Sold,,,https://www.redfin.com/CA/San-Francisco/1100-Leavenworth-St-94109/unit-7/home/176992862,San Francisco MLS,421607912,N,Y,37.7914729,-122.4156931
